id,label,x,y,,,,,,,
50001,Abodiacum,47.91,10.91,,,,,,,
50002,Ad fl. Tigrim,37.325,42.196,,,,,,,
50003,Ad Publicanos,45.667,6.387,,,,,,,
50004,Ad Tricesimum,46.158,13.216,,,,,,,
50005,Ad Aras,38.5,-0.5,,,,,,,
50006,Adramyttium,39.501,26.938,,,,,,,
50007,Aeclanum,41.043,14.994,,,,,,,
50008,Aelana,29.664,34.974,,,,,,,
50009,Aequum Tuticum,41.152,15.088,,,,,,,
50010,Aesernia,41.594,14.231,,,,,,,
50011,Aesuris,37.218,-7.445,,,,,,,
50012,Ara Agrippinensium,50.941,6.96,,,,,,,
50013,Aguntum,46.827,12.823,,,,,,,
50014,Ake-Ptolemais,32.922,35.077,,,,,,,
50015,Alba Fucens,42.08,13.412,,,,,,,
50016,Albulae,35.302,-1.145,,,,,,,
50017,Alexandria,31.201,29.91,,,,,,,
50019,Alexandria Troas,39.761,26.153,,,,,,,
50020,Altinum,45.579,12.373,,,,,,,
50021,Ammaedara,35.567,8.467,,,,,,,
50022,Ancona,43.616,13.519,,,,,,,
50023,Ancyra,39.972,32.801,,,,,,,
50024,Antiochia,36.202,36.158,,,,,,,
50025,Caesarea (Phrygia),38.304,31.19,,,,,,,
50026,Apamea,35.557,36.401,,,,,,,
50027,Apamea (Pisidia),38.069,30.17,,,,,,,
50028,Aphroditopolis,29.408,31.252,,,,,,,
50029,Claudia Aprensis,40.969,27.065,,,,,,,
50030,Apulum,46.077,23.58,,,,,,,
50031,Aquae Sextiae,43.526,5.445,,,,,,,
50032,Aquae Sulis,51.381,-2.357,,,,,,,
50033,Aquae Terebellicae,40.4,-1.06,,,,,,,
50034,Aquileia,45.768,13.365,,,,,,,
50035,Aquincum,47.564,19.05,,,,,,,
50036,Arae Philaenorum,30.294,18.788,,,,,,,
50037,Arausio,44.138,4.81,,,,,,,
50038,x37,34.535,36.039,,,,,,,
50039,Archelais,38.402,33.95,,,,,,,
50040,Arelate,43.677,4.628,,,,,,,
50041,Argentorate,48.583,7.744,,,,,,,
50042,Ariminum,44.059,12.563,,,,,,,
50043,Arretium,43.471,11.863,,,,,,,
50045,Arupium,44.849,15.269,,,,,,,
50046,Ascalon,31.67,34.546,,,,,,,
50047,Asculum,42.855,13.575,,,,,,,
50048,Asturica,42.459,-6.064,,,,,,,
